🇨🇳河南地方,#genre#
斗鱼电影HD9,https://live.metshop.top/douyu/323876$LR•IPV4『线路3』
斗鱼电影HD10,https://live.metshop.top/douyu/6140589$LR•IPV4『线路3』
斗鱼电影HD12,https://live.metshop.top/douyu/2436390$LR•IPV4『线路3』
斗鱼电影HD13,https://live.metshop.top/douyu/218859$LR•IPV4『线路3』
斗鱼电影HD14,https://live.metshop.top/douyu/36337$LR•IPV4『线路3』
斗鱼电影HD22,https://live.metshop.top/douyu/252802$LR•IPV4『线路3』
斗鱼电影HD25,https://live.metshop.top/douyu/8945323$LR•IPV4『线路3』
斗鱼电影HD29,https://live.metshop.top/douyu/9651304$LR•IPV4『线路3』
斗鱼电影HD28,https://live.metshop.top/douyu/4332$LR•IPV4『线路3』
斗鱼电影HD31,https://live.metshop.top/douyu/8814650$LR•IPV4『线路3』
斗鱼电影HD35,https://live.metshop.top/douyu/1165374$LR•IPV4『线路3』
斗鱼电影HD40,https://live.metshop.top/douyu/1226741$LR•IPV4『线路3』

🇨🇳系列电影,#genre#
林正英电影,http://223.85.105.11/test-txdwk.flv.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.m3u8
周星驰电影,http://223.85.105.11/test-txdwk.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.m3u8
惊悚电影,https://live.metshop.top/douyu/96577$LR•IPV4『线路3』
1905电影网,http://php.jdshipin.com:8880/1905.php?id=1905dy
漫威电影,http://zzy789.xyz/douyu1.php?id=6140589
X战警系列电影,http://liushizupu.site:35455/yy/1382736893$LR•IPV4
国产电影,https://live.metshop.top/douyu/5423$LR•IPV4『线路3』
超级英雄系列电影,http://liushizupu.site:35455/yy/1382736863$LR•IPV4
电影大卫贝肯倒霉特工熊,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/87f87ba569c147e3805f80e4844d2de9/1200.m3u8
电影棉花糖和云朵妈妈,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d8ad434c6b08421a927557a4d98da65c/1200.m3u8
电影昆塔反转星球,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3ccdecc7d6e341c1920ad4eac5d82f38/1200.m3u8
末日系列-外国电影合集,http://liushizupu.site:35455/yy/1354889019$LR•IPV4
电影猪猪侠英雄猪少年,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/0f03b08bc7b042358144617000fd2931/1200.m3u8
新昌休闲影视,https://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
陕西西部电影,http://gxlive.snrtv.com/sx8-SD.m3u8
东阳影视生活,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
浙江影视,https://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8?
珍珠港-电影,http://liushizupu.site:35455/yy/1354936234$LR•IPV4
特种兵归来-国产电影,http://liushizupu.site:35455/yy/1382735581$LR•IPV4
美亚电影,http://ku9.fr.to/smt.php?id=meiyamovie_twn
粤语电影,https://live.metshop.top/douyu/65871$LR•IPV4『线路3』
电影昆仑境,https://cdn15.yzzy-tv-cdn.com/20230610/15317_9ea0d662/index.m3u8
贝爷求生影视,https://stream1.freetv.fun/f92ea9cae12af707c587af406ddb929ea9f58aae893845b713679aab4b1df9f8.ctv

🇨🇳专题电影,#genre#
电影_怪兽,http://rihou.cc:555/huyad.php?id=21059577
电影_强森,http://rihou.cc:555/huyad.php?id=21059581
电影_警匪,https://live.metshop.top/huya/11352886$LR•IPV4『线路2』
电影_推荐,https://live.metshop.top/huya/11602041$LR•IPV4『线路2』
电影_盗墓,http://rihou.cc:555/huyad.php?id=21059552
电影_贺岁,https://live.metshop.top/huya/11601971$LR•IPV4『线路2』
电影_热血,https://live.metshop.top/huya/11352934$LR•IPV4『线路2』
电影_谍战,http://rihou.cc:555/huyad.php?id=21059585
电影_玄幻,http://rihou.cc:555/huyad.php?id=11342414
电影_喜剧,https://live.metshop.top/huya/11352877$LR•IPV4『线路2』
电影_蜘蛛侠,https://live.metshop.top/huya/21059599$LR•IPV4『线路2』
电影_八点档,https://live.metshop.top/huya/880261$LR•IPV4『线路2』
电影_灾难片,https://live.metshop.top/huya/11602075$LR•IPV4『线路2』
电影_战争片,http://rihou.cc:555/huyad.php?id=21059574
电影_古装片,https://live.metshop.top/huya/11336590$LR•IPV4『线路2』
电影_动作电影,https://live.metshop.top/huya/11602077$LR•IPV4『线路2』
电影_喜剧专场,https://live.metshop.top/huya/11602044$LR•IPV4『线路2』
电影_高分动作,https://live.metshop.top/huya/11352884$LR•IPV4『线路2』
电影_嫣然影厅,https://live.metshop.top/huya/11601977$LR•IPV4『线路2』
电影_国产悬疑,https://live.metshop.top/huya/11342395$LR•IPV4『线路2』
电影_欢笑影院,https://live.metshop.top/huya/11352894$LR•IPV4『线路2』
电影_女神系列,https://live.metshop.top/huya/11336571$LR•IPV4『线路2』
电影_喜乐影院,http://rihou.cc:555/huyad.php?id=21059580
电影_经典港片,https://live.metshop.top/huya/11352965$LR•IPV4『线路2』
电影_搞笑恐怖,https://live.metshop.top/huya/11601960$LR•IPV4『线路2』
电影_怪兽系列,https://live.metshop.top/huya/21059554$LR•IPV4『线路2』
电影_变形金刚,https://live.metshop.top/huya/21059596$LR•IPV4『线路2』
电影_搞笑喜剧,https://live.metshop.top/huya/11342423$LR•IPV4『线路2』
电影_宇宙,https://live.metshop.top/huya/11342428$LR•IPV4『线路2』
电影_黑帮片,https://live.metshop.top/huya/11336719$LR•IPV4『线路2』

🇨🇳🛰️联通线路,#genre#
CCTV1,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-1hd/2500.m3u8?innersid=15654890039634427536
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=4547519954471704013
CCTV3,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-3hd/2500.m3u8?innersid=9476609640263440821
CCTV4,https://tvpull.careryun.com/tv/cctv4.m3u8
CCTV4中文欧洲,https://www.freetv.top/migu/608807419.m3u8?migutoken=77b074e1b49cf260629d9642f9505e978eaabf572bfa1abe5f2e3ef60f5e4929c900274758111d707a7cca2a7368eb2b1af1415da7e0b2dbfcbdbeb4cb8566210f2994ffde97ad1e11a037a174
CCTV4美洲,https://tvpull.careryun.com/tv/cctv4m.m3u8
CCTV4欧洲,https://tvpull.careryun.com/tv/cctv4o.m3u8
CCTV4中文美洲,https://www.freetv.top/migu/608807416.m3u8?migutoken=94d24df192f212e52d7c222dfab7df5ce4aad53db2766a6c4275a4c1e796cf13fb231906f792af9bc717ce1ccafa62165ebdc66b02fb0882cd5beac443921d36883a491d2b549a5509d63534e1
CCTV5,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-5hd/2500.m3u8?innersid=4790815411650771981
CCTV5+,https://tvpull.careryun.com/tv/cctv5+.m3u8
CCTV6,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-6hd/2500.m3u8?innersid=14916759019483157794
CCTV8,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-8hd/2500.m3u8?innersid=15852265263958669967
CCTV10,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-10hd/2500.m3u8?innersid=9053765528789506188
CCTV11,https://tvpull.careryun.com/tv/cctv11.m3u8
CCTV12,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-12hd/2500.m3u8?innersid=8190402369178717730
CCTV14,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-14hd/2500.m3u8?innersid=10749977474028640862
CCTV13,https://tvpull.careryun.com/tv/cctv13.m3u8
CCTV怀旧剧场,http://60.2.190.206:4000/udp/239.253.93.252:6430
CCTV15,https://tvpull.careryun.com/tv/cctv15.m3u8
CCTV兵器科技,http://60.2.190.206:4000/udp/239.253.93.47:6435
CCTV17,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-17hd/2500.m3u8?innersid=2038717225283627700
CCTV世界地理,https://pi.0472.org/live/sjdl.m3u8?token=162210
浙江卫视,http://112.101.78.50:9901/tsfile/live/0124_1.m3u8
四川卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/scws-hd/2500.m3u8?innersid=17534924581903335933
深圳卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/szws-hd/2500.m3u8?innersid=15000776628606995758
黑龙江卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/hljws-hd/2500.m3u8?innersid=3559146512286674480
吉林卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jxws-hd/2500.m3u8?innersid=14570431181364255736
辽宁卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/lnws-hd/2500.m3u8?innersid=6324592032119595697
宁夏卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/nxws-sd/1500.m3u8?innersid=2025
山东卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/sdws-hd/2500.m3u8?innersid=3721212644869031100
山西卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/shanxiws-sd/1500.m3u8?innersid=2025
新疆卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/xjws-sd/1500.m3u8?innersid=2025
云南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/ynws-hd/2500.m3u8?innersid=8984720984732853831
西藏卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/xzws-sd/1500.m3u8?innersid=2025
兵团卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/btws-sd/1500.m3u8?innersid=2025
山东教育卫视,http://wouu.net:9977/udp/239.93.1.196:5140
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
